ID	SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Length	PosX	PosY	
18215	UL29	8	1	134	51388	200	850.865356445313	854.076904296875	
18216	UL29	8	1	135	51622	283	932.777770996094	859.611083984375	
18217	UL29	8	1	136	51989	417	710.673095703125	746.615356445313	
18218	UL29	8	1	137	52422	217	844.375	859.428588867188	
18219	UL29	8	1	138	52656	583	923.455871582031	871.441162109375	
18220	UL29	8	1	139	53256	400	901.200012207031	887.440002441406	
18221	UL29	8	1	140	53706	400	985.950012207031	873.080017089844	
18222	UL29	8	1	141	54190	183	1060.41662597656	849.666687011719	
18223	UL29	8	1	142	54456	234	781.75	874.866638183594	
18224	UL29	8	1	143	54757	433	746.527770996094	903.962951660156	
18225	UL29	8	1	144	55207	217	704.642883300781	893.428588867188	
18226	UL29	8	1	145	55440	434	524.074096679688	892.296325683594	
18227	UL29	8	1	146	55907	317	641	883.049987792969	
18228	UL29	8	1	147	56307	167	595.227294921875	860.727294921875	
